STATE,CITY,LOCATION,ENERGY,AREA,IT EQUIPMENT POWER,State_Aggregated_PUE,FULL_CABINETS,PARTIAL_CABINETS,SHARED_RACKSPACE,CAGES,SUITES,BUILD_TO_SUIT,FOOTPRINTS,REMOTE_HANDS,YEAR_OPERATIONAL,State_Aggregated_IXP_Count
CO,Denver,Equinix DE1,32.3,162000,23.26,1.55,True,True,True,True,True,True,True,True,2013.0,4
CO,Denver,Equinix DE2,24.9,124000,17.93,1.55,True,True,True,True,True,True,True,True,2014.0,4
CO,Denver,DataBank DEN1,24.4,241000,17.08,1.55,True,True,True,True,True,False,True,True,2005.0,4
CO,Denver,DataBank DEN2,20.8,92000,14.56,1.55,True,True,True,True,True,False,True,True,2020.0,4
CO,Denver,Cologix DEN1,10.1,24000,6.87,1.55,True,True,True,True,False,False,True,True,2008.0,4
CO,Denver,Cologix DEN2,10.7,38000,7.28,1.55,True,True,True,True,False,False,True,True,2007.0,4
CO,Denver,Flexential Denver,4.7,27000,3.29,1.55,True,True,True,True,True,False,True,True,2015.0,4
CO,Denver,Iron Mountain Denver,16.4,160000,11.15,1.55,True,True,True,True,False,False,True,True,2012.0,4
CO,Denver,TierPoint Denver,8.6,101000,5.93,1.55,True,True,True,True,True,False,True,True,2006.0,4
CO,Denver,Lumen Denver 1,7.5,36000,4.88,1.55,True,True,True,False,False,False,True,True,2007.0,4
